model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2
lstm,glucose_only,none,134574,31527,16.030759811401367,22.927277077308755,0.8557613492012024
attention_lstm,glucose_only,none,134574,31527,16.103679656982422,23.18583636215222,0.852489709854126
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.977827072143555,22.99902341676707,0.8548572063446045
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.085275650024414,23.250069566848207,0.8516712784767151
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.056678771972656,22.892451398980572,0.8561992049217224
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.363576889038086,22.981042097747384,0.8550840616226196
