model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2
lstm,glucose_only,none,134574,31527,16.094633102416992,22.982107085594873,0.8550706505775452
attention_lstm,glucose_only,none,134574,31527,16.160982131958008,23.23120801591915,0.8519118428230286
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.753446578979492,22.894085702561917,0.8561786413192749
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.22573471069336,23.39412131518034,0.8498275876045227
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.07139778137207,22.70488314768433,0.8585460186004639
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.78674030303955,22.679567742105448,0.8588612675666809
