model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2,seed
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.0250301361084,22.90471249529641,0.856045126914978,4
lstm,glucose_only,none,134574,31527,16.094633102416992,22.982107085594876,0.8550706505775452,5
attention_lstm,glucose_only,none,134574,31527,16.160982131958008,23.23120801591915,0.8519118428230286,5
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.753446578979492,22.89408570256192,0.8561786413192749,5
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.22573471069336,23.39412131518034,0.8498275876045227,5
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.07139778137207,22.70488314768433,0.8585460186004639,5
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.78674030303955,22.679567742105448,0.8588612675666809,5
lstm,glucose_only,none,134574,31527,16.180755615234375,23.11054103506869,0.8534462451934814,6
attention_lstm,glucose_only,none,134574,31527,16.198575973510742,23.145096578011263,0.8530076742172241,6
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.938488960266112,22.965879922724493,0.8552752137184143,6
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.742565155029297,23.421876302951933,0.8494710326194763,6
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.15401840209961,22.73913583098188,0.8581188917160034,6
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.865625381469728,22.67173366384271,0.8589587211608887,6
lstm,glucose_only,none,134574,31527,16.30238151550293,23.12826729452241,0.8532213568687439,7
attention_lstm,glucose_only,none,134574,31527,16.326171875,23.212671647184436,0.8521480560302734,7
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.534442901611328,23.32485168344458,0.8507155776023865,7
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.198593139648438,23.17596000320833,0.8526153564453125,7
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.889392852783203,22.702344005407102,0.8585776090621948,7
