model,feature_set,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std,MAE,RMSE,R2
attention_lstm,glucose_insulin,16.406155395507813,0.26009839782525845,23.434694219117965,0.3727608511092547,0.8492719113826752,0.0048761285293696475,16.406 ± 0.260,23.435 ± 0.373,0.849 ± 0.005
attention_lstm,glucose_meal,15.94394359588623,0.19178642422426062,22.861065812097372,0.1419546070082709,0.8565882563591003,0.0017807069629207418,15.944 ± 0.192,22.861 ± 0.142,0.857 ± 0.002
attention_lstm,glucose_only,16.31668872833252,0.23246173520816543,23.24135427066758,0.13051424601611306,0.851778256893158,0.00167416638199767,16.317 ± 0.232,23.241 ± 0.131,0.852 ± 0.002
lstm,glucose_insulin,16.1503849029541,0.2893385514430622,23.144700276695627,0.2531217428879901,0.8529968738555909,0.0032221077601989083,16.150 ± 0.289,23.145 ± 0.253,0.853 ± 0.003
lstm,glucose_meal,16.015043640136717,0.1956209702156698,22.738661403902697,0.12157568781045401,0.8581211507320404,0.0015192528441851198,16.015 ± 0.196,22.739 ± 0.122,0.858 ± 0.002
lstm,glucose_only,16.259906005859374,0.13962831077867124,23.069701645785155,0.12012525041123855,0.8539601922035217,0.0015226185095724863,16.260 ± 0.140,23.070 ± 0.120,0.854 ± 0.002
