model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2
lstm,glucose_only,none,134574,31527,16.41918182373047,23.217733984752233,0.8520835638046265
attention_lstm,glucose_only,none,134574,31527,16.199386596679688,23.23159422456504,0.8519068956375122
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.01082992553711,23.23251374311912,0.8518952131271362
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.855621337890625,24.452313784467567,0.8359347581863403
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.783602714538574,22.5872663425674,0.8600077629089355
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.040496826171875,22.84322764664412,0.8568169474601746
