model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2
lstm,glucose_only,none,134574,31527,16.41045379638672,23.08001192988413,0.8538331985473633
attention_lstm,glucose_only,none,134574,31527,16.455406188964844,23.119601882621975,0.8533313274383545
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.589853286743164,23.270222063041885,0.8514140844345093
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.35094451904297,23.199269723908472,0.8523187637329102
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.672958374023438,23.30548628366224,0.8509633541107178
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.119319915771484,22.80725003802245,0.8572676181793213
