model,feature_set,features,best_params,n_train,n_test,MAE,RMSE,R2
ridge,glucose_only,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1",{'alpha': 0.01},134574,31527,17.616555753258133,24.61495097556797,0.8337450109833133
xgboost,glucose_only,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1","{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400, 'subsample': 0.8}",134574,31527,16.59752865843743,23.69404385214451,0.8459523377451375
lstm,glucose_only,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1",fixed architecture,134574,31527,16.456689834594727,23.200669325019618,0.8523009419441223
ridge,glucose_insulin,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, basal, bolus, bolus_30min, time_since_last_bolus_min",{'alpha': 0.01},134574,31527,17.596579106445176,24.517610141782136,0.8350573353758934
xgboost,glucose_insulin,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, basal, bolus, bolus_30min, time_since_last_bolus_min","{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 400, 'subsample': 0.8}",134574,31527,16.67791814341563,24.52956316325584,0.8348964678364461
lstm,glucose_insulin,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, basal, bolus, bolus_30min, time_since_last_bolus_min",fixed architecture,134574,31527,16.49059295654297,23.275206325448277,0.8513504266738892
ridge,glucose_meal,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, carbs, carbs_30min, time_since_last_meal_min",{'alpha': 0.01},134574,31527,17.34568080219558,24.288767165395946,0.8381220560423379
xgboost,glucose_meal,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, carbs, carbs_30min, time_since_last_meal_min","{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 400, 'subsample': 0.8}",134574,31527,16.169679092696168,23.243486061730135,0.8517552696018733
lstm,glucose_meal,"glucose_lag_12, glucose_lag_11, glucose_lag_10, glucose_lag_9, glucose_lag_8, glucose_lag_7, glucose_lag_6, glucose_lag_5, glucose_lag_4, glucose_lag_3, glucose_lag_2, glucose_lag_1, carbs, carbs_30min, time_since_last_meal_min",fixed architecture,134574,31527,16.111114501953125,22.761128480955474,0.8578442931175232
