model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2
lstm,glucose_only,none,134574,31527,16.321256637573242,23.2878018779917,0.8511894941329956
attention_lstm,glucose_only,none,134574,31527,16.26510238647461,23.16847818368,0.852710485458374
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.251628875732422,23.2013125344303,0.8522927761077881
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.256441116333008,23.25012732029991,0.8516705632209778
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.955750465393066,22.7855617383129,0.8575389385223389
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.0250301361084,22.904712495296412,0.856045126914978
